Philosopher: 0, Time: 3 ms, running
Philosopher: 2, Time: 8 ms, running
Philosopher: 2, Time: 24 ms, entering hungry state.
Philosopher: 1, Time: 8 ms, running
Philosopher: 3, Time: 8 ms, running
Philosopher: 3, Time: 25 ms, entering hungry state.
Philosopher: 1, Time: 25 ms, entering hungry state.
Philosopher: 2, Time: 24 ms, picked up fork 2
Philosopher: 2, Time: 26 ms, picked up fork 1
Philosopher: 2, Time: 26 ms, no neighbors are eating - entering eating state. Will eat for 24 ms
Philosopher: 1, Time: 25 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 24 ms, entering hungry state.
Philosopher: 0, Time: 27 ms, picked up fork 0
Philosopher: 0, Time: 28 ms, picked up fork 3
Philosopher: 0, Time: 28 ms, no neighbors are eating - entering eating state. Will eat for 25 ms
Philosopher: 3, Time: 25 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 2, Time: 51 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 53 ms, entering think state. Will think for 10 ms
Philosopher: 3, Time: 54 ms, picked up fork 3
Philosopher: 3, Time: 54 ms, picked up fork 2
Philosopher: 3, Time: 54 ms, no neighbors are eating - entering eating state. Will eat for 13 ms
Philosopher: 1, Time: 54 ms, picked up fork 1
Philosopher: 1, Time: 55 ms, picked up fork 0
Philosopher: 1, Time: 56 ms, no neighbors are eating - entering eating state. Will eat for 15 ms
Philosopher: 2, Time: 61 ms, entering hungry state.
Philosopher: 2, Time: 61 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 64 ms, entering hungry state.
Philosopher: 0, Time: 64 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 3, Time: 68 ms, entering think state. Will think for 10 ms
Philosopher: 1, Time: 71 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 71 ms, picked up fork 0
Philosopher: 0, Time: 72 ms, picked up fork 3
Philosopher: 0, Time: 72 ms, no neighbors are eating - entering eating state. Will eat for 13 ms
Philosopher: 2, Time: 71 ms, picked up fork 2
Philosopher: 2, Time: 73 ms, picked up fork 1
Philosopher: 2, Time: 73 ms, no neighbors are eating - entering eating state. Will eat for 38 ms
Philosopher: 3, Time: 80 ms, entering hungry state.
Philosopher: 3, Time: 80 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 1, Time: 82 ms, entering hungry state.
Philosopher: 1, Time: 82 ms, a neighbor is currently eating. Waiting on the semaphore.
Philosopher: 0, Time: 86 ms, entering think state. Will think for 10 ms
Philosopher: 0, Time: 96 ms, entering hungry state.
Philosopher: 0, Time: 97 ms, picked up fork 0
Philosopher: 0, Time: 97 ms, picked up fork 3
